kf, X_kfre
1, 132.027683
 2, 65.582067
 3, 66.893473
 4, 74.380628
 5, 46.025214
 6, 44.719693
 7, 75.124330
 8, 74.377922
 9, 40.537586
 10, 37.043535
 11, 48.416917
 12, 42.558328
 13, 30.426818
 14, 60.510793
 15, 93.854712
 16, 80.388555
 17, 50.537264
 18, 37.230501
 19, 45.564639
 20, 37.816810
 21, 26.924845
 22, 42.202498
 23, 55.072504
 24, 37.843862
 25, 30.032967
 26, 37.149376
 27, 34.078357
 28, 22.114084
 29, 40.173328
 30, 65.952950
 31, 74.384797
 32, 51.010239
 33, 27.864927
 34, 30.201761
 35, 29.882089
 36, 22.511293
 37, 24.260575
 38, 39.942671
 39, 37.755747
 40, 25.855341
 41, 26.783373
 42, 26.128201
 43, 15.232555
 44, 21.968895
 45, 47.757799
 46, 68.535766
 47, 45.357091
 48, 22.786220
 49, 23.128650
 50, 23.728981
 51, 18.215923
 52, 19.469585
 53, 32.070973
 54, 33.283935
 55, 20.663221
 56, 21.141931
 57, 24.328448
 58, 17.277625
 59, 13.248520
 60, 32.841049
 61, 51.759069
 62, 42.059265
 63, 27.842062
 64, 21.659702
 65, 23.483225
 66, 20.825664
 67, 18.089729
 68, 21.296196
 69, 28.217306
 70, 21.209785
 71, 23.339455
 72, 25.818479
 73, 15.592889
 74, 7.652125
 75, 23.134957
 76, 39.546267
 77, 45.637417
 78, 33.999243
 79, 17.790886
 80, 16.430375
 81, 16.798856
 82, 17.283798
 83, 16.882766
 84, 23.486543
 85, 22.842345
 86, 23.098668
 87, 24.856567
 88, 20.018709
 89, 7.238361
 90, 12.972950
 91, 28.882476
 92, 42.547813
 93, 32.207423
 94, 19.177910
 95, 17.624356
 96, 16.589601
 97, 15.772861
 98, 13.097858
 99, 18.768328
 100, 22.261399
 101, 19.931270
 102, 24.976472
 103, 27.232897
 104, 13.042323
 105, 5.550690
 106, 22.372674
 107, 37.228042
 108, 28.291503
 109, 19.943360
 110, 20.039321
 111, 17.756730
 112, 12.167293
 113, 12.199922
 114, 15.346993
 115, 19.844524
 116, 17.215366
 117, 25.842832
 118, 32.177385
 119, 21.290912
 120, 6.335433
 121, 13.485887
 122, 27.213933
 123, 31.949225
 124, 26.487810
 125, 19.249262
 126, 16.824284
 127, 12.224489
 